Country Name,Country Code,Series Name,Series Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,28529,29012,29573,30198,30816,31428,32045,32886,34059,35367,36735,38168,39663,41221,42842,44532,46288,47818,48992,50078,51174,52288,53401,54500,55578,56603,57594,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,..
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1048063942,1106952451,1112954410,1149724054,1182359840,1199657766,1200156310,1226664494,1225039476,1240309117,1262264056,1284791515,1314617089,1357385813,1432681663,1505667140,1578346209,1638029596,1679733887,1695342210,1677855020,1717841363,1765210867,1847288559,2014794627,2079163153,2164389691,2240757202,2422692295,2532836662,2753046642,2977025606,3137719375,3288602532,3339680716,3154021641,2986768713,2927781286,2927545021,2781915942,2683224789,2750425228,2789870188,2893365390,2903378514,2949506390,3008955097,2672435366,2911602777,..
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,24393,26003,27640,29294,30949,32574,34142,35611,36987,38598,40432,42181,43809,45605,47635,49654,51639,53569,55434,57283,59156,61037,62928,64147,64682,65186,65655,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,..
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,22133389551,21159520141,21159520141,22048220289,23371113983,24189102854,24890587258,25906807370,27494607219,27506050877,26557064977,26820340911,25254494115,19197603369,19454729049,22372938412,25403211916,27251112007,28529501581,29151869725,30042349802,31305930601,35584101641,36648066280,40661029539,46772382275,52174592427,59484252831,66128643868,66697350207,69938841426,72365719225,78545751649,82433766353,86407073890,87219300385,84969042438,84841588874,83724808772,83138735113,78482965946,79346278572,..
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,6578230,6802494,7032713,7266780,7511895,7771590,8043218,8330047,8631457,8947152,9276707,9617702,9970621,10332574,10694057,11060261,11439498,11828638,12228691,12632507,13038270,13462031,13912253,14383350,14871146,15366864,15870753,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,..
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,346269196.8,361448350,390652456.2,422535286.1,438654653,438286129.3,461795868.6,508737398.4,547624235,610567225.8,651025662.2,684965406.6,720941671.1,742654377.3,758818833.5,767609561.5,808138415.3,862095450.3,824511645.8,878966185.3,927059773.7,970920131.2,1006918140,1069381615,1020746102,1031233675,1093897040,1156982396,1231883484,1388433067,1517770927,1517553269,1336012966,1231261603,1207145958,1247861376,1240363272,1287444083,1336692593,1410163356,1454503450,1554626243,1630215842,1301036618,1369612292,..
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,64463,64218,64035,63990,64117,64329,64609,64889,65076,65231,65408,65362,65048,64712,64353,63982,63636,63328,63634,64659,65834,67072,68398,69798,71218,72572,73821,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,..
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2.43686E+11,2.57171E+11,2.57098E+11,2.51909E+11,2.69377E+11,2.57238E+11,2.83535E+11,2.87842E+11,2.72903E+11,2.70896E+11,2.82677E+11,2.87117E+11,2.72219E+11,2.88969E+11,2.96785E+11,2.93551E+11,2.72541E+11,2.65817E+11,2.90095E+11,3.1312E+11,3.38818E+11,3.58592E+11,3.48389E+11,3.67644E+11,3.97464E+11,4.12767E+11,3.98793E+11,3.95646E+11,3.78203E+11,3.36999E+11,3.6678E+11,3.99899E+11,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.83118E+11,5.71451E+11,5.1463E+11,5.68143E+11,..
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,25020588,25449754,25875558,26290257,26713780,27146121,27584134,28024803,28471285,28922762,29377137,29832197,30287112,30748326,31216453,31690792,32165766,32637657,33105763,33568285,34027240,34488696,34946110,35389362,35815971,36233195,36653031,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,..
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5839777179,5156523338,3001096441,2736999991,2884798066,3083849087,3264729195,3373153453,3619393655,3738833645,3959424831,4339529614,4912347523,5600076177,6188084175,7048227876,7978593955,9071661327,9697605959,8330243518,8513508876,8913643793,9555426146,9870755209,10226102396,10553337673,10574444348,11367527675,11958639114,12867495686,11941035997,12621675049,..
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,..,..
Armenia,ARM,"Population, total",SP.POP.TOTL,2706852,2767646,2830798,2896311,2965523,3038224,3097058,3135123,3167876,3202011,3238291,3272102,3300896,3327182,3351364,3366838,3448186,3556539,3617631,3574555,3457349,3373713,3322782,3298898,3271418,3240550,3206030,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,..
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,982616126.7,1140605386,1353312877,1517467571,1577580558,1703201274,1803389602,1935175782,2093935693,2147271244,2172733340,2325843142,2372173576,2401542077,2584457670,2692900552,2667108731,2697003796,2893373340,2882235963,2915061917,3005333289,3060433997,2702865574,2629007178,2717520017,2689383486,2862305920,2861719742,2963128492,3025849510,3191737811,3359554779,3380888935,2752412118,3225070323,..
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,59365,60028,60715,61193,61465,61738,62006,62267,62614,63116,63683,64174,64478,64553,64450,64332,64596,65712,67864,70192,72360,74710,77050,79417,81858,84355,86867,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,..
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3.72945E+11,3.88262E+11,3.9345E+11,4.03636E+11,4.18146E+11,4.21881E+11,4.38967E+11,4.52292E+11,4.67396E+11,4.82937E+11,4.72193E+11,4.93875E+11,5.19943E+11,5.40566E+11,5.544E+11,5.86319E+11,6.09041E+11,6.30823E+11,6.28407E+11,6.311E+11,6.56644E+11,6.82784E+11,7.09325E+11,7.36682E+11,7.65507E+11,8.00823E+11,8.40514E+11,8.73304E+11,8.91132E+11,9.2672E+11,9.55554E+11,9.95846E+11,1.02725E+12,1.05541E+12,1.09528E+12,1.13436E+12,1.15558E+12,1.18108E+12,1.20932E+12,1.25651E+12,1.28891E+12,1.32215E+12,1.35062E+12,1.38749E+12,1.41916E+12,1.46008E+12,1.49178E+12,1.49102E+12,1.52436E+12,..
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020,7692020,7692020,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079,..
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.58283E+11,1.64523E+11,1.63924E+11,1.7143E+11,1.80138E+11,1.79759E+11,1.89388E+11,1.92667E+11,1.92389E+11,1.96259E+11,2.02093E+11,2.02197E+11,2.07249E+11,2.12019E+11,2.14896E+11,2.21979E+11,2.30608E+11,2.40629E+11,2.48911E+11,2.54122E+11,2.5546E+11,2.61597E+11,2.68576E+11,2.74886E+11,2.80641E+11,2.90692E+11,3.0103E+11,3.11192E+11,3.15136E+11,3.2034E+11,3.23356E+11,3.322E+11,3.39655E+11,3.51387E+11,3.64485E+11,3.69808E+11,3.55886E+11,3.62424E+11,3.73017E+11,3.75555E+11,3.75651E+11,3.78135E+11,3.81971E+11,3.8957E+11,3.98369E+11,4.08031E+11,4.14222E+11,3.87489E+11,4.05146E+11,..
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,..,..
Austria,AUT,"Population, total",SP.POP.TOTL,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,..
Azerbaijan,AZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20239380759,20097705058,15555623649,11962274785,9605706504,8472233223,8582372204,9080149805,9988164750,10727289071,11918018066,13097901838,14334201826,15797480065,17259347559,22085326604,29704764283,37130955309,41125866645,44949076801,47218530748,47265749344,48289166007,51094670380,52500032771,53074370486,51429065064,51531923163,52304902011,53612524596,51307185984,54180407522,..
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83217,83092,82705,82605,82604,82618,82652,82672,82660,82637,82629,82627,82622,82656,82658,82658,82659,82663,82663,82670,82662,82654,82654,82646,..,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,5493900,5594100,5689050,5781000,5876150,5976150,6071300,6160500,6257750,6357550,6459800,6567850,6670150,6770300,6875350,6974600,7076550,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,..
"Bahamas, The",BHS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5104243209,4249066609,3620071912,3807779337,4156378840,4745733415,5986234708,6375057529,5786868897,6174525328,6396626207,7303101614,7655781544,7793355956,8025950172,8211326158,8763729150,8623838203,8263207850,7947092060,7971553710,8222571209,8582617218,8945106668,9560148893,9129598350,10243182779,10668196406,10948253587,11244367824,11102179836,11200183239,11580458589,11871921817,12043676933,11763841228,11272606092,11446022283,11516230371,11871722488,11531800177,11744827460,11861900000,11760164716,12118868244,12340765667,12574766786,9579129439,10893360608,..
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,..,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,193563,197767,201881,206096,210534,215016,219426,223752,227956,232177,236586,241166,245935,250804,255618,260452,265493,270679,276058,281973,288164,293997,299554,304933,310171,315398,320272,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,..
Bahrain,BHR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,7719989594,7309541112,6757216272,7188081842,7547748015,7188605896,7273646666,8030033862,8592135562,8623411549,9006118310,10017505286,10687676226,12063180869,12033022738,12505919514,13019913571,13422619470,14065563317,14670382393,15447922938,15832722682,16362889423,17393169261,18607379554,19866912679,21151705947,22906020072,24336503493,24954622923,26036230938,26552663487,27542575573,29034512771,30297627559,31050638298,32155459790,33535234421,34243206974,34985245170,33258424204,33998540961,..
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,762,767,770,770,771,778,779,780,780,783,785,..,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,256632,270627,285116,300044,315337,330912,346697,362595,377430,391017,404772,419217,434375,450196,466565,483337,500349,517418,535415,554470,573755,593254,612934,632756,652643,672484,692133,711442,730257,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,..
Bangladesh,BGD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,27637128280,30288069547,29049828420,30694444135,31514923831,33744238404,35364513431,35654198967,38233403645,39049429822,40564956312,42513416921,43934221545,45767764684,47494308687,48641893177,50021660426,52834007312,54675392831,57651202536,60367474528,62715845617,65927698356,68909554894,72003522586,75731164300,79267928093,83463813144,87701511126,91063218744,95379221373,1.00377E+11,1.06937E+11,1.14072E+11,1.22124E+11,1.29468E+11,1.36E+11,1.43578E+11,1.52859E+11,1.62828E+11,1.72619E+11,1.83082E+11,1.95079E+11,2.08956E+11,2.22726E+11,2.39029E+11,2.57869E+11,2.6676E+11,2.85269E+11,..
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,..,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,71144818,72947807,74700345,76380080,78137788,80007550,81908151,83929765,86154836,88555336,91045478,93534239,95959099,98271746,100490256,102688833,104893674,107147651,109242834,111272102,113418757,115614891,117793338,119876868,122039226,124350471,126754824,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,..
Barbados,BRB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,2854171152,2799941900,2922025274,3028451448,3176147187,3426840743,3576698709,3508750320,3336788625,3353514383,3474253445,3512409079,3691688292,3787338718,3920099419,4061222998,3926894258,3773749040,3558927592,3587152308,3659282137,3732980006,3881421104,4065404437,4216981615,4231093972,4419258745,4314722760,4348696955,4443302021,4506023612,4684257465,4970592660,5073864125,5106341835,4850118649,4735405354,4702836228,4682488037,4614713386,4610686451,4724691200,4844368804,4866473199,4816487750,4810171059,4169888154,4161995687,..
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,..,..
Barbados,BRB,"Population, total",SP.POP.TOTL,244643,245851,247090,248359,249663,251009,252334,253575,254684,255642,256505,257279,257911,258370,258654,258762,258759,258868,259402,260212,260995,261712,262303,262793,263224,263642,264170,264657,265377,266455,267499,268505,269477,270425,271444,272635,273791,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,..
Belarus,BLR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29452556634,29099127259,26305610636,24306383743,21462535898,19230432059,19768885051,22022539015,23872430403,24684092837,26115771070,27349821166,28729692799,30753180385,34274340535,37496129068,41245740030,44792876368,49361749507,49460470691,53317530167,56185324134,57133246704,57706562175,58702799524,56454734397,55028435772,56421856743,58198692498,59013474193,58600611434,59948354832,..
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202928,202892,202878,202868,202854,202855,202829,202835,202848,202844,202829,202826,202815,202833,202904,202901,202902,202898,202902,202910,202899,202908,202973,202978,202988,202988,202980,202965,202980,..,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314,..
Belgium,BEL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2.00749E+11,2.09914E+11,2.05787E+11,2.1742E+11,2.18781E+11,2.24999E+11,2.30266E+11,2.40499E+11,2.39828E+11,2.41255E+11,2.42007E+11,2.47976E+11,2.52072E+11,2.56667E+11,2.62587E+11,2.7499E+11,2.84529E+11,2.93456E+11,2.98835E+11,3.0341E+11,3.00491E+11,3.10188E+11,3.17585E+11,3.21782E+11,3.33989E+11,3.40541E+11,3.52606E+11,3.65711E+11,3.69733E+11,3.76044E+11,3.79947E+11,3.93515E+11,4.02652E+11,4.12929E+11,4.28112E+11,4.30025E+11,4.21336E+11,4.33404E+11,4.40748E+11,4.44006E+11,4.46045E+11,4.53086E+11,4.62336E+11,4.68192E+11,4.75775E+11,4.84305E+11,4.95158E+11,4.6861E+11,4.97354E+11,..
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,..,..
Belgium,BEL,"Population, total",SP.POP.TOTL,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952,..
